,Rodada,Pontos,Valorizacao,Total,Cartoletas
0,1,79.11,26.27,79.11,126.27
1,2,40.79,5.89,119.90,132.16
2,3,40.91,-1.80,160.81,130.36
3,4,70.48,6.23,231.29,136.59
