,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Palmeiras,Zagueiro,Gustavo G—mez,9.17,0.52,4.8,2.5,4,4,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,3.0,,71684,275,3,0.0
1,Fluminense,TŽcnico,Fernando Diniz,14.36,-0.2,4.09,6.66,4,4,,,,,,,,,,,,,,,,,,,,,72391,266,6,0.0
2,Fluminense,Atacante,Cano,16.0,0.29,8.10,5.12,4,4,,,,2.0,3.0,,,,,,,,,1.0,,,,,2.0,,79631,266,5,8.10
3,AmŽrica-MG,Goleiro,Matheus Cavichioli,7.38,-0.68,-0.3,1.93,4,4,,,,,,,,,,,,,4.0,,,1.0,,1.0,1.0,,72580,327,1,0.0
4,Cruzeiro,Zagueiro,Oliveira,7.94,-1.54,-0.8,3.27,3,4,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,94514,283,3,0.0
5,AmŽrica-MG,Meia,Juninho,5.89,0.78,4.1,2.05,4,4,,,,,,4.0,,,,,,,,2.0,,,,,1.0,,82381,327,4,0.0
6,AmŽrica-MG,Atacante,AloÃ­sio,8.54,3.08,14.3,7.5,3,4,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,73850,327,5,0.0
7,Fluminense,Meia,Arias,9.79,0.71,5.9,3.13,3,4,,,,,1.0,2.0,,1.0,,,,,,4.0,,,,,2.0,,99815,266,4,0.0
8,Palmeiras,Lateral,Piquerez,11.5,3.72,15.1,6.63,3,4,,2.0,,,,1.0,,,,,1.0,,,1.0,,,1.0,,2.0,,102130,275,2,0.0
9,Fluminense,Lateral,Alexsander,8.57,0.07,1.9,4.32,4,4,,,,,1.0,1.0,,,,,,,,1.0,,,,,2.0,,118774,266,2,0.0
10,Bahia,Meia,Cauly,7.74,2.58,11.8,5.05,4,4,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,123360,265,4,0.0
11,Bahia,Atacante,Vitor JacarŽ,12.44,-0.63,2.8,7.17,4,4,,,,,2.0,2.0,,,,,,,,2.0,,,1.0,,4.0,,101201,265,5,0.0
12,Flamengo,Atacante,Pedro,14.33,-0.66,5.4,5.0,3,3,,,,2.0,,,,,,,,,,1.0,,,,,,,94583,262,5,5.4
13,Palmeiras,Lateral,Piquerez,7.78,-1.96,-1.4,2.4,2,3,,,,,1.0,,,,,,,,,2.0,1.0,,1.0,,2.0,,102130,275,2,0.0
14,Bragantino,Meia,Bruninho,11.08,-1.11,1.2,7.05,2,3,,,,1.0,,,,,,,,,,,,,,,,,113558,280,4,0.0
15,Palmeiras,Zagueiro,Gustavo G—mez,8.65,-0.9,1.4,1.73,3,3,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,71684,275,3,0.0
16,Palmeiras,Atacante,Dudu,15.24,-0.93,3.6,6.93,3,3,,,,,,3.0,,,,,,,,2.0,,,,,1.0,,68920,275,5,0.0
17,AtlŽtico-MG,Zagueiro,Mauricio Lemos,12.18,-1.7,-0.7,6.0,3,3,,,,1.0,,,,,,,,,,,,,1.0,,3.0,,87853,282,3,0.0
18,Flamengo,Meia,Everton Ribeiro,8.81,0.6,5.4,3.23,3,3,,1.0,,,,2.0,,,,,,,,,,,,,2.0,,51772,262,4,0.0
19,Bragantino,Lateral,Aderlan,7.67,-1.67,-2.1,2.97,3,3,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,88423,280,2,0.0
20,Internacional,Goleiro,John Victor,6.94,1.13,7.0,5.5,2,3,,,,,,,,,,,1.0,,2.0,,,,,,,,94044,285,1,0.0
21,AtlŽtico-MG,Meia,Zaracho,5.74,-1.16,-0.3,1.37,3,3,,,,,,,,,,,,,,,,,,,1.0,,100079,282,4,0.0
22,Bragantino,TŽcnico,Pedro Caixinha,7.67,-0.54,1.17,3.48,3,3,,,,,,,,,,,,,,,,,,,,,117711,280,6,0.0
23,Vasco,Atacante,Pedro Raul,5.79,-0.64,1.3,3.77,3,3,,,,1.0,1.0,,,1.0,,,,,,,,,,,2.0,,98225,267,5,0.0
24,Grmio,Lateral,Jo‹o Pedro,14.19,1.67,4.6,10.0,2,2,,,,,,2.0,,,,,,,,3.0,,,,,,,89273,284,2,0.0
25,Palmeiras,Lateral,Marcos Rocha,6.26,0.0,0.0,4.7,1,2,,,,,,,,,,,,,,,,,,,,,63013,275,2,0.0
26,Cuiab‡,TŽcnico,Ivo Vieira,5.57,0.91,3.45,3.84,2,2,,,,,,,,,,,,,,,,,,,,,121593,1371,6,0.0
27,Palmeiras,Atacante,Flaco L—pez,9.4,-0.08,1.4,5.55,2,2,,,,,1.0,,,,,,,,,1.0,,,,,2.0,,113103,275,5,0.0
28,Grmio,Meia,Bitello,11.43,-0.44,3.4,5.9,2,2,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,112140,284,4,0.0
29,Bragantino,Goleiro,Luc‹o,2.24,-0.34,0.0,1.0,2,2,,,,,,,,,,,,,1.0,,,,,1.0,,,106160,280,1,0.0
30,Botafogo,Meia,Eduardo,13.61,-1.16,0.4,7.15,2,2,,,,,,2.0,,,,,,,,,,,,,2.0,,68708,263,4,0.0
31,Bahia,Atacante,Everaldo,10.68,-0.68,0.9,5.75,2,2,,,,1.0,,,,,,,,,,,,,,,1.0,,78117,265,5,0.0
32,AtlŽtico-MG,Zagueiro,Mauricio Lemos,13.88,1.49,5.5,9.35,2,2,,,,,,1.0,,,,,1.0,,,,,,,,,,87853,282,3,0.0
33,Bragantino,Meia,Matheus Fernandes,10.64,0.12,2.4,6.35,2,2,,,,,,,,,,,,,,2.0,,,,,,,94067,280,4,0.0
34,Fluminense,Zagueiro,Nino,15.1,4.0,15.4,10.8,2,2,1.0,,,,,3.0,,,,,1.0,,,1.0,,,,,1.0,,91708,266,3,0.0
35,AtlŽtico-MG,Atacante,Paulinho,8.71,-0.06,3.6,4.6,2,2,,,,1.0,,,,,,,,,,2.0,,,,,,,99818,282,5,0.0
36,Palmeiras,Lateral,Marcos Rocha,6.26,1.26,4.7,4.7,1,1,,,,,,1.0,,,,,,,,4.0,,,,,2.0,,63013,275,2,0.0
37,Palmeiras,Atacante,Artur,5.68,-1.32,1.8,1.8,1,1,,,,,1.0,2.0,,,,,,,,,,,,,,,95799,275,5,0.0
38,Palmeiras,Atacante,Endrick,8.71,2.71,7.5,7.5,1,1,1.0,,,,1.0,1.0,,,,,,,,,,,,,6.0,,115959,275,5,0.0
39,Palmeiras,Meia,Gabriel Menino,6.0,-2.0,1.3,1.3,1,1,,,,,1.0,1.0,,,,,,,,,,,,,,,103767,275,4,0.0
40,Corinthians,Zagueiro,Bruno MŽndez,3.48,-2.52,-0.6,-0.6,1,1,,,,,,,,,,,,,,,,,,,2.0,,103700,264,3,0.0
41,Grmio,Lateral,Diogo Barbosa,10.19,5.19,10.8,10.8,1,1,,,,,1.0,1.0,,,,,1.0,,,4.0,,,,,1.0,,70916,284,2,0.0
42,Corinthians,TŽcnico,Fernando L‡zaro,7.56,1.56,5.72,5.72,1,1,,,,,,,,,,,,,,,,,,,,,113429,264,6,0.0
43,Bragantino,Meia,Bruninho,12.19,6.19,12.9,12.9,1,1,1.0,,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,113558,280,4,0.0
44,AthlŽtico-PR,Meia,Vitor Bueno,5.74,0.74,3.9,3.9,1,1,,,,2.0,1.0,2.0,,,,,,,,,,,,,1.0,,87552,293,4,0.0
45,AthlŽtico-PR,Zagueiro,Pedro Henrique,10.58,5.58,11.4,11.4,1,1,1.0,,,,,,,,,,1.0,,,,,,1.0,,2.0,,87225,293,3,0.0
46,Bragantino,Goleiro,Luc‹o,2.58,0.58,2.0,2.0,1,1,,,,,,,,,,,,,4.0,,,,1.0,1.0,,,106160,280,1,0.0
47,AtlŽtico-MG,Atacante,Hulk,14.77,-1.23,10.35,6.9,1,1,,,,3.0,3.0,5.0,,,,,,,,,,,1.0,,2.0,,39148,282,5,10.35
