,Rodada,Pontos,Valorizacao,Total,Cartoletas
0,1,71.77,16.74,71.77,116.74
1,2,41.05,5.43,112.81,122.17
2,3,21.97,-9.54,134.79,112.63
3,4,71.79,8.70,206.58,121.33
