,Rodada,Pontos,Valorizacao,Total,Cartoletas
0,1,38.44,0.0,38.44,100.0
1,2,54.89,7.14,93.33,107.14
2,3,40.69,-3.67,134.02,103.47
3,4,53.78,5.37,187.80,108.84
