,TIME,POSICAO,NOME,PONTUACAO,RODADA,G,A,FT,FD,FF,FS,SG,DS,DE,DP,PS,PP,PC,PI,I,GC,GS,FC,CV,CA,ADVERSARIO,CASA,FORA
783,Santos,Meia,Ed Carlos,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,1,0
784,Fluminense,Lateral,Alexsander,-0.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Fortaleza,0,1
785,Coritiba,Atacante,Kaio César,2.9,3,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,3,0,1,São Paulo,1,0
786,Vasco,Atacante,Erick Marcus,1.2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bahia,1,0
787,Cuiabá,Técnico,Ivo Vieira,3.05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,1,0
788,Corinthians,Zagueiro,Murillo,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,0,1
789,Bragantino,Meia,Gustavinho,2.5,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,1,0
790,Internacional,Atacante,Lucca,1.2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Goiás,1,0
791,Fluminense,Meia,Isaac,0.5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,0,1
792,Grêmio,Atacante,Zinho,1.1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Cuiabá,0,1
793,Bahia,Meia,Cauly,4.1,3,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Vasco,0,1
794,Cruzeiro,Técnico,Pepa,11.17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bragantino,0,1
795,Bragantino,Atacante,Henry Mosquera,-1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,Cruzeiro,1,0
796,Internacional,Técnico,Mano Menezes,6.67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goiás,1,0
797,Fluminense,Goleiro,Fábio,9.0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,Fortaleza,0,1
798,São Paulo,Lateral,Rafinha,4.1,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Coritiba,0,1
799,Athlético-PR,Zagueiro,Thiago Heleno,1.0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,0,1
800,Atlético-MG,Lateral,Mariano,-0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Athlético-PR,1,0
801,Atlético-MG,Atacante,Hulk,18.8,3,2,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,Athlético-PR,1,0
802,América-MG,Técnico,Vagner Mancini,5.36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,0,1
803,São Paulo,Técnico,Dorival Júnior,4.85,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coritiba,0,1
804,Corinthians,Técnico,Vanderlei Luxemburgo,2.05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,0,1
805,Grêmio,Técnico,Renato Gaúcho,5.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,0,1
806,Corinthians,Goleiro,Cássio,2.0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,Palmeiras,0,1
807,Corinthians,Lateral,Fagner,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palmeiras,0,1
808,Fortaleza,Zagueiro,Titi,1.8,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,1,0
809,Goiás,Técnico,Emerson Ávila,2.86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,0,1
810,Goiás,Lateral,Apodi,-0.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Internacional,0,1
811,Cuiabá,Goleiro,Walter,2.0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,Grêmio,1,0
812,Corinthians,Meia,Giuliano,-1.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Palmeiras,0,1
813,Flamengo,Meia,Everton Ribeiro,5.4,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Botafogo,1,0
814,Atlético-MG,Zagueiro,Réver,-1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Athlético-PR,1,0
815,Flamengo,Zagueiro,David Luiz,1.6,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,Botafogo,1,0
816,Vasco,Meia,Alex Teixeira,2.5,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,Bahia,1,0
817,América-MG,Atacante,Felipe Azevedo,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,0,1
818,Cruzeiro,Atacante,Gilberto,10.6,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Bragantino,0,1
819,Fluminense,Atacante,Alan,8.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,0,1
820,Fluminense,Meia,Ganso,5.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,0,1
821,Coritiba,Meia,Willian Farias,4.7,3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,São Paulo,1,0
822,Atlético-MG,Meia,Edenílson,5.2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Athlético-PR,1,0
823,Internacional,Meia,Alan Patrick,-0.3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,Goiás,1,0
824,Botafogo,Meia,Eduardo,6.9,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Flamengo,0,1
825,América-MG,Lateral,Nino Paraíba,2.0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Santos,0,1
826,Cuiabá,Atacante,Wellington Silva,1.7,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,1,0
827,Goiás,Atacante,Vinicius,5.2,3,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,Internacional,0,1
828,Palmeiras,Atacante,Dudu,3.6,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Corinthians,1,0
829,Corinthians,Zagueiro,Gil,1.8,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,Palmeiras,0,1
830,São Paulo,Goleiro,Rafael,2.0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,Coritiba,0,1
831,Cruzeiro,Goleiro,Rafael Cabral,11.0,3,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,Bragantino,0,1
832,Cruzeiro,Zagueiro,Luciano Castán,6.2,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Bragantino,0,1
833,Flamengo,Atacante,Marinho,2.3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Botafogo,1,0
834,Fortaleza,Meia,Lucas Sasha,0.9,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Fluminense,1,0
835,Flamengo,Goleiro,Santos,0.0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,Botafogo,1,0
836,Fluminense,Zagueiro,Manoel,1.2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,0,1
837,Coritiba,Técnico,Antônio Carlos Zago,5.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,1,0
838,Corinthians,Meia,Paulinho,1.0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Palmeiras,0,1
839,Athlético-PR,Atacante,Pablo,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atlético-MG,0,1
840,Grêmio,Atacante,Luis Suárez,5.1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cuiabá,0,1
841,Flamengo,Meia,Vidal,3.7,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Botafogo,1,0
842,Cruzeiro,Meia,Nikão,1.2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,Bragantino,0,1
843,Botafogo,Lateral,Rafael,-0.4,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Flamengo,0,1
844,Grêmio,Lateral,Fábio,6.2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,0,1
845,Grêmio,Zagueiro,Bruno Uvini,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,0,1
846,Bragantino,Atacante,Eduardo Sasha,1.8,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,1,0
847,Coritiba,Goleiro,Gabriel,3.0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,São Paulo,1,0
848,Cuiabá,Zagueiro,Marllon,11.6,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,1,0
849,Flamengo,Técnico,Jorge Sampaoli,5.29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Botafogo,1,0
850,Grêmio,Lateral,Diogo Barbosa,-0.8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Cuiabá,0,1
851,Grêmio,Meia,Vina,9.4,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Cuiabá,0,1
852,Fortaleza,Goleiro,Fernando Miguel,-1.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,Fluminense,1,0
853,Palmeiras,Goleiro,Weverton,1.0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,Corinthians,1,0
854,Palmeiras,Zagueiro,Gustavo Gómez,1.4,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Corinthians,1,0
855,Fortaleza,Atacante,Thiago Galhardo,10.2,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fluminense,1,0
856,América-MG,Zagueiro,Danilo Avelar,5.0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santos,0,1
857,Atlético-MG,Goleiro,Everson,0.5,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,Athlético-PR,1,0
858,Fluminense,Técnico,Fernando Diniz,4.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortaleza,0,1
859,Goiás,Lateral,Maguinho,-0.2,3,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,3,1,0,Internacional,0,1
860,América-MG,Goleiro,Matheus Cavichioli,0.0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,Santos,0,1
861,Internacional,Atacante,Pedro Henrique,2.8,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Goiás,1,0
862,Cuiabá,Meia,Ceppelini,2.3,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Grêmio,1,0
863,Internacional,Atacante,Luiz Adriano,2.3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Goiás,1,0
