;TIME;POSICAO;NOME;PRECO;VALORIZACAO;PONTOS;MEDIA;JOGOS;RODADA;G;A;FT;FD;FF;FS;PP;I;PI;PS;SG;DP;DE;DS;GC;CV;CA;GS;FC;PC;NOME_ID;TIME_ID;POSICAO_ID;CAP
0;Atlético-MG;Lateral;Mariano;5.58;0.21;2.1;1.82;4;4;;;;;;;;;;;;;;2.0;;;;;1.0;;38877;282;2;0.0
1;Atlético-MG;Atacante;Paulinho;8.54;-1.07;0.4;3.92;4;4;;;;;;1.0;;1.0;;;;;;;;;;;;;99818;282;5;0.0
2;Palmeiras;Meia;Gabriel Menino;6.79;-0.45;1.1;3.33;4;4;;;;;;1.0;;;;;;;;1.0;;;;;2.0;;103767;275;4;0.0
3;Internacional;Zagueiro;Vitão;5.1;-1.1;0.0;2.25;4;4;;;;;;;;;;;;;;;;;;;;;97900;285;3;0.0
4;Vasco;Lateral;Puma Rodríguez;5.68;0.17;3.5;3.05;4;4;;;;;;1.0;;;;;;;;3.0;;;;;2.0;;99213;267;2;0.0
5;Fluminense;Atacante;Keno;2.6;0.0;0.0;-0.63;3;4;;;;;;;;;;;;;;;;;;;;;86485;266;5;0.0
6;Santos;Técnico;Odair Hellmann;8.64;-0.16;3.5;4.92;4;4;;;;;;;;;;;;;;;;;;;;;92273;277;6;0.0
7;Flamengo;Meia;Everton Ribeiro;9.09;0.28;7.65;3.7;4;4;;;;;;3.0;;;;;;;;3.0;;;;;;;51772;262;4;7.65
8;Vasco;Atacante;Pedro Raul;7.7;1.91;8.5;4.95;4;4;1.0;;;;;1.0;;;;;;;;;;;;;;;98225;267;5;0.0
9;Santos;Meia;Lucas Lima;5.44;-0.66;-0.1;2.73;4;4;;;;;;;;;;;;;;1.0;;;1.0;;1.0;;80583;277;4;0.0
