,Rodada,Pontos,Valorizacao,Total,Cartoletas
0,1,65.46,12.65,65.46,112.65
1,2,57.62,6.79,123.08,119.44
2,3,46.99,-1.37,170.07,118.07
3,4,70.14,6.24,240.21,124.31
