,Rodada,Pontos,Valorizacao,Total,Cartoletas
0,1,57.71,14.43,57.71,114.43
1,2,76.20,15.84,133.91,130.27
2,3,47.63,1.75,181.54,132.02
3,4,58.34,4.96,239.88,136.98
